timestamp,frame,fps,ear_left,ear_right,ear_avg,mar,ml_eye_conf,ml_mouth_conf,fused,eye_closed_raw,eye_closed_valid,blink_dur,yawn_dur,yawn_count,perclos,status
1774194358.3098,159,50.9,0.2465,0.2512,0.2489,0.0027,0.9733,0.4004,0.2920,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194358.3399,160,33.4,0.2463,0.2503,0.2483,0.0025,0.9591,0.4004,0.2877,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194358.3575,161,57.1,0.2468,0.2508,0.2488,0.0025,0.9733,0.4004,0.2920,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194358.4183,162,16.3,0.2603,0.2442,0.2522,0.0009,0.8890,0.3195,0.2667,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194358.4345,163,65.2,0.2637,0.2467,0.2552,0.0022,0.8890,0.4068,0.2667,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194358.4499,164,61.1,0.2634,0.2460,0.2547,0.0021,0.8890,0.4068,0.2667,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194358.4801,165,34.1,0.2636,0.2448,0.2542,0.0021,0.8890,0.4068,0.2667,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194358.5621,166,12.0,0.2510,0.2177,0.2343,0.0027,0.8539,0.4518,0.2562,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194358.5913,167,35.7,0.2454,0.2156,0.2305,0.0022,0.8539,0.4667,0.2562,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194358.6218,168,33.1,0.2460,0.2165,0.2312,0.0023,0.7769,0.4667,0.2331,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194358.6382,169,59.1,0.2474,0.2167,0.2320,0.0021,0.7769,0.4667,0.2331,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194358.6920,170,18.5,0.2593,0.2350,0.2471,0.0012,0.8786,0.3757,0.2636,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194358.7166,171,40.3,0.2570,0.2351,0.2460,0.0009,0.8169,0.3757,0.2451,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194358.7473,172,33.2,0.2571,0.2308,0.2439,0.0013,0.8169,0.3762,0.2451,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194358.7633,173,59.5,0.2569,0.2298,0.2433,0.0015,0.8786,0.3762,0.2636,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194358.8186,174,18.3,0.2575,0.2719,0.2647,0.0038,0.8830,0.2411,0.2649,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194358.8398,175,48.0,0.2617,0.2714,0.2666,0.0035,0.8830,0.2352,0.2649,0,0,0.0000,0.0000,0,0.0000,NORMAL
1774194358.8556,176,62.6,0.2625,0.2710,0.2667,0.0039,0.8830,0.2352,0.2649,0,0,0.0000,0.0000,0,0.0000,NORMAL
